timestamp,speaker,words
00:00:00,Adrienne,Go for it.
00:00:01,Bill Gray,"This is Bill Gray, class of 1969."
00:00:04,Adrienne,"And I'm Adrian Gassaway, class of 2028. And so thank you so much for being here today. I would love to hear about why you came to Grinnell and you're free to answer however you'd like."
00:00:16,Bill Gray,"Well, I'm from Omaha and my family has Iowa roots. So my dad graduated from Cole in 1929. I have an older brother who graduated from Carlton and another older brother who graduated from Grinnell. So it was this type of college that seemed like what college should be. And I visited Grinnell more than I did Carlton. And so that's how I got here. At that time, which would have been 1965, the college did a fair amount of recruiting in Omaha. So in my year there were actually three other people that I went to junior high with who came here."
00:01:10,Adrienne,"Oh, wow."
00:01:11,Bill Gray,So that was kind of unusual and none of us knew that the other was coming.
00:01:19,Adrienne,"Interesting. That's pretty rare, I feel like. Bill Gray  : I would think that's pretty rare. With that many people. Adrienne:  What are your first memories of arriving on campus?"
00:01:28,Bill Gray,"Well, I lived in Dibble and so I unloaded in the parking lot kind of between Dibble and Norris. And I had a big locker, foot locker that's which packed everything in and I was greeted in the parking lot by Roger Abel, who was class of 68 and he was kind of shepherding me to find my room, get situated. He also gave me my nickname on my first day on campus, which has stuck with me for over 70 years or close to 70 years. And if you ask any of my classmates who are at reunion, we have 40 some here, that is the only name they know me by. If you said I interviewed Bill Gray, they would say. And if you said, so I talked to Birdbod, they'd say, ""Oh yeah, sure. Yeah, Bird."" North Campus was rife with nicknames. Most of them would not pass muster today."
00:02:43,Bill Gray,"Birdbod was actually pretty benign. There were lots of birds. There were lots of bods. There was sparrow bod. There was turnip bod. There was barrel bod. There was stick bad. There was sparrow bod. Anyway, north campus in the '60s."
00:03:04,Adrienne,"Interesting. So when you arrived and kind of were experiencing the classes for the first time, how did you feel about Grinnell classes? How did they differ from your classes before? Was it anything new?"
00:03:22,Bill Gray,"I went to a high school that was pretty demanding. So I wasn't intimidated by the classes, but what you saw immediately was that everybody there was as smart as you were. Half of them were smarter. In high school it was the opposite. And in those days we had required classes, which we don't anymore. So you had full professors, people like Joe Wall and Dr. McKibben, full professors teaching intro humanities and historical studies. That was something. I live in East Lansing, Michigan now, which is the home of Michigan State, which is a wonderful university. But your first couple of years classes are 200 people taught by grad students."
00:04:39,Adrienne,Did you have a class that you really liked at Grinnell or maybe that you feel like you've kind of carried with you more than the other classes afterward?
00:04:47,Bill Gray,"You know, what I carried with me from Grinnell was actually not specific knowledge. It was the ability to analyze data. It was the ability to read and understand. It was teaching you how to write. It was teaching and those are the things you carry with you. I was a history major and I actually got a master's degree in history, although I had no idea why because I had no path that I wanted to go through. I just liked history. So uh, but in my career, which was a business career, all the things that Grinnell taught and influenced and emphasized became critical in a job, whatever job you're looking for, when I would hire people, I always wanted somebody who had a liberal arts background. That's a bias, but there you have it."
00:05:49,Adrienne,"What does the liberal arts mean to you, especially in the context of Grinnell? My grandfather was a Grinnell alum actually as well and he, every time he taught me something new, said it was for my liberal arts education. And so what does that mean to you? Because I think it's kind of a funny ... Bill Gray(06:07): Well, it is. And it's something I think a liberal arts education should expand your not specific knowledges but areas of interest. I have described myself to people who don't care in kind of Midwestern terms that I would rather plow 40 acres six inches deep than 20 acres a foot deep. Well, I'm just interested in lots of things,"
00:06:46,Bill Gray,"But once I know reasonable amount about that I don't ... As I say, I was a history major and British history was kind of one of my areas of interest. I studied the Tudors and the Stuarts and that was very interesting to me. Once you got to the point where somebody wanted to teach you about what they ate and I lost interest. So that's what I think Grinnell always taught and you know, in a way they kind of force fed it back then by requiring you to take this huge breadth of classes. So you know I don't know whether that was right or wrong. They did away with it right after I left, but you know you couldn't get out of here not having had three semesters of the science, two of which had to be a lab science and things like that. And it just I think if you asked other people, they would say, ""I didn't think I'd want to take this class, but I had to take another science class and I took a physics class with Grant Gayle and it opened my eyes."" I really still there."
00:08:10,Adrienne,So it surprised you. Did you take that class?
00:08:13,Bill Gray,"I did not take that. I took what was colloquially called sewer chem, which was inorganic chemistry without a lab. But I'm certain the college is better today than it was when I went here, but the best professors when I was here, I'm sure are as good as the best professors today. And they are names that even people who are years removed from them know and revere like Joe Wall and Grant Gayle. My brother was actually a math major."
00:08:59,Adrienne,Oh really?
00:09:01,Bill Gray,"And he got a master's in actuarial science from the University of Iowa, but anyway, that's more than you need to know."
00:09:15,Adrienne,Are there traditions on campus that you remember really vividly or that um
00:09:23,Bill Gray,"Well you know the campuses were segregated. All the women lived south, all the men lived north. Women tended to change halls every year."
00:09:34,Bill Gray,"Men never changed halls. So it wasn't a fraternity because they didn't pick you, you just got assigned to a hall, but you had hall dinners, which were always at the Amanas and you couldn't have cars until you were a senior so you'd take professors with you to these hall dinners and they would drive so you could get back and forth, but there was that and intramural sports was very big back then. I don't think it is quite as big now, but you know, on north campus when you lived in the same hall for four years intramurals was a bonding experience. I enjoyed the hall system back then. It had its imperfections, but I enjoyed it. I always say you know human beings are imperfect. So if they tried to design a system by its nature it has to be imperfect and it had flaws, but ..."
00:10:55,Adrienne,Do you think you got to know the people within your hall pretty well then?
00:10:57,Bill Gray,"Oh yes, absolutely. And I'm friends with many of them today, even though I have never lived close to any of them since I left. Dibble was 50 maybe. So yeah, you knew them well. They weren't all your best friends, but you knew them well."
00:11:26,Adrienne,"And you spent a lot of time together, it sounds like."
00:11:29,Bill Gray,"You did. You ate dinner together because dinners were sit down meals. So all the men ate in Cowles and they didn't assign you tables, but you'd go over with a bunch of people from your hall and you'd sit at a table, had to wear a coat and a tie."
00:11:53,Adrienne,"That's so interesting. That definitely is not what happens now, but ..."
00:11:56,Bill Gray,"No, I'm sure it isn't. Well, there was a moment of silence. We weren't far removed from being a church school. Did you read George Drake's book Mentor?"
00:12:16,Adrienne,"I haven't, no."
00:12:17,Bill Gray,"No. Well, you should do that. One, it's a wonderful read. And you know George Drake."
00:12:23,Adrienne,"I think so, yes. Well,"
00:12:24,Bill Gray,He was president of The college for a long Time and he was a student here.
00:12:29,Adrienne,"I've talked to his daughter before, Melanie Drake. Bill Gray(12:31): Wonderful. Well, anyway, one of the things that comes out in that, which I think tends to get lost over time is in the 50s, 60s, college didn't have any money. It was not well to do and therefore there are lots of things that probably students take for granted today that weren't available. I mean, there were no women's sports. That wasn't particularly a decision that the college made. They're just, if we had them, nobody else did, so what would you do with it? But there was no medical service. And if you hurt yourself, you saw Doc Parish, whose daughter was in my class, he'd look after you, but he wasn't affiliated with the college in a direct way. Men's athletics, I think there were eight coaches, eight total."
00:13:42,Adrienne,I think the football team in itself has like over 10 now.
00:13:45,Bill Gray,"Oh, it does. The baseball team has more than that, but the college coming out of World War II just didn't have any money. Fred Darby, Darby Gym"
00:14:01,Bill Gray,"Kind of kept the college afloat because he passed on oil royalties from oil fields that he owned. And then in the late 60s it became Joe and his buddy Warren Buffet. And it was at that point that the college began to acquire the wealth that is really required to maintain a world class institution. You look at smaller liberal arts colleges, even ones who have a name recognition, they're living hand to mouth. If you don't have a big endowment, then all you're living off of is tuition and liberal arts today attracts a smaller group of people and in fact, the group of people going to college today is smaller and shrinking. So it's hard to convince ... I mean, when I came here, I had no idea what I wanted to do. I studied after Grinnell. I studied history because I liked history. Well, that's kind of anachronistic."
00:15:31,Bill Gray,"It's almost quixotic, that you would spend money and take courses for something that you weren't going to use later on. Today it's hard to convince a lot of kids to come to a school to study Greek history. Anyway."
00:15:58,Adrienne,"We still have a good bit of time. So we might have a couple more questions in, but definitely before we wrap up, I want to hear about what made you come back to reunion this year and what you're looking forward to most at reunion this year."
00:16:10,Bill Gray,"Well, I have come to reunion every time since I graduated. I think I came back after two years."
00:16:19,Adrienne,Oh my goodness.
00:16:20,Bill Gray,"The College didn't really have a reunion set up like they do now, but I have always come back in part because I was close enough that I could and I came back because there were always people coming that I wanted to see and that I knew I wouldn't if I didn't come back here. The other part of it, in addition to the people, which is probably the biggest part, is just to see the physical change in the campus. We only had 1350 people when I was here and it's what, 1750 now, you know east dorms. They tore down the phys ed complex to build the Bear Center. Phys ed complex hadn't even been built when we were here. So I mean, that's how much campus has changed."
00:17:23,Adrienne,Oh my goodness.
00:17:25,Bill Gray,"We had, and I'm sure you've learned this from many people, but the natatorium was a work project initiative from the '30s."
00:17:39,Adrienne,"Oh, wow."
00:17:40,Bill Gray,It was a frame building. It had four lanes and it had the length was 20 yards and there was only a one meter diving board and they had to cut a hole in the roof so that the divers didn't hit their head on the roof when they dove.
00:18:04,Adrienne,Oh my goodness.
00:18:05,Bill Gray,"The women's gym was from the 1890s. It looked like something out of a Edgar Allen Pose story, but that's what it was."
00:18:21,Adrienne,It sounds like there have been a lot of changes. What is your biggest surprise coming back to reunion this year?
00:18:25,Bill Gray,"Well, I saw the Renfro building and that was impressive. I always love to go into the ARH. Well, I call it ARH. That's probably not what it's called. It never fails to take my breath away when I go in and you see the edifice from the old building. It's spectacular. I have a sense that I kind of like the old brick buildings so now it's a little more eclectic, but that's okay."
00:19:05,Adrienne,"Yeah. I mean, there have been so many changes over the years and I think even with like the HSSC remodel that you were talking about with like them building around the ARH, um, it's definitely a big change."
00:19:23,Bill Gray,"It’s big change and if you had been here and the classes I was taking, I spent most of my time in ARH so to see what they did to kind of preserve that legacy, it's something."
00:19:42,Adrienne,"Do you remember a big oak tree on campus by any chance? The last interview we had said that it had to be cut down while he was here, but to ask you about it"
00:19:54,Bill Gray,"Well, there were lots of big trees on campus. I remember we still had elms and there was a huge Sycamore and central campus may still be there that always used to have owls roosting in it. Can't specifically remember an Oak tree."
00:20:15,Adrienne,"Yeah. Well, there are lots of trees around, so I don't fault you for not remembering every single tree that was here."
00:20:22,Bill Gray,"I had told Jane Bailey the last time I was here, what they should do is to have students, biology students maybe as part of coursework, label all of the mature trees. They do that on the Michigan State campus and the Michigan State campus is huge. I mean, it is, I think by area it's the largest college campus in the country."
00:20:55,Adrienne,Really?
00:20:57,Bill Gray,"So they have trees that are a couple hundred years old and you can go up to them and there's a plaque on them. It'll tell you their name, it'll tell you what their distinguishing characteristics are. It would be kind of cool to see it because we have a lot of cool trees on this campus."
00:21:19,Adrienne,"Yeah, definitely."
00:21:21,Bill Gray,"Anyway,"
00:21:22,Adrienne,I think that sounds like a great place to stop. I appreciate everything you shared. I'm going to end the recording here.
